Funktion;Subfunktion;;;Text;
Recht;Erlaubnis;;;Eine Erhöhung nach § 559 kann nur verlangt werden, soweit der Vermieter bauliche Maßnahmen auf Grund von Umständen durchgeführt hat, die er nicht zu vertreten hat.;
RF Einwendung;Ausschluss;;;Eine Erhöhung nach § 558 ist ausgeschlossen.;
Gebot;Gebot;;;(3) Eine Änderung der Miete nach Absatz 1 muss durch Erklärung in Textform geltend gemacht werden.;
Gebot;Gebot;;;Dabei sind die eingetretene Änderung des Preisindexes sowie die jeweilige Miete oder die Erhöhung in einem Geldbetrag anzugeben.;
Gebot;Gebot;;;Die geänderte Miete ist mit Beginn des übernächsten Monats nach dem Zugang der Erklärung zu entrichten.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Der Vermieter kann die Zustimmung zu einer Erhöhung der Miete bis zur ortsüblichen Vergleichsmiete verlangen, wenn die Miete in dem Zeitpunkt, zu dem die Erhöhung eintreten soll, seit 15 Monaten unverändert ist.;
Recht;Erlaubnis;;;Das Mieterhöhungsverlangen kann frühestens ein Jahr nach der letzten Mieterhöhung geltend gemacht werden.;
RF;Maßstab;;;Erhöhungen nach den §§ 559 bis 560 werden nicht berücksichtigt.;
RF;Rechtseigenschaft;;;(2) Die ortsübliche Vergleichsmiete wird gebildet aus den üblichen Entgelten, die in der Gemeinde oder einer vergleichbaren Gemeinde für Wohnraum vergleichbarer Art, Größe, Ausstattung, Beschaffenheit und Lage einschließlich der energetischen Ausstattung und Beschaffenheit in den letzten vier Jahren vereinbart oder, von Erhöhungen nach § 560 abgesehen, geändert worden sind.;
RF;Rechtseigenschaft;;;Ausgenommen ist Wohnraum, bei dem die Miethöhe durch Gesetz oder im Zusammenhang mit einer Förderzusage festgelegt worden ist.;
Recht;Verbot;;;(3) Bei Erhöhungen nach Absatz 1 darf sich die Miete innerhalb von drei Jahren, von Erhöhungen nach den §§ 559 bis 560 abgesehen, nicht um mehr als 20 vom Hundert erhöhen (Kappungsgrenze).;
RF;Rechtseigenschaft;;;Der Prozentsatz nach Satz 1 beträgt 15 vom Hundert, wenn die ausreichende Versorgung der Bevölkerung mit Mietwohnungen zu angemessenen Bedingungen in einer Gemeinde oder einem Teil einer Gemeinde besonders gefährdet ist und diese Gebiete nach Satz 3 bestimmt sind.;
Recht;Ermächtigung;;;Die Landesregierungen werden ermächtigt, diese Gebiete durch Rechtsverordnung für die Dauer von jeweils höchstens fünf Jahren zu bestimmen.;
RF;Ausnahme;;;(4) Die Kappungsgrenze gilt nicht, 1.wenn eine Verpflichtung des Mieters zur Ausgleichszahlung nach den Vorschriften über den Abbau der Fehlsubventionierung im Wohnungswesen wegen des Wegfalls der öffentlichen Bindung erloschen ist und2.soweit die Erhöhung den Betrag der zuletzt zu entrichtenden Ausgleichszahlung nicht übersteigt.;
Recht;Erlaubnis;;;Der Vermieter kann vom Mieter frühestens vier Monate vor dem Wegfall der öffentlichen Bindung verlangen, ihm innerhalb eines Monats über die Verpflichtung zur Ausgleichszahlung und über deren Höhe Auskunft zu erteilen.;
Verweisung;analog §;;;Satz 1 gilt entsprechend, wenn die Verpflichtung des Mieters zur Leistung einer Ausgleichszahlung nach den §§ 34 bis 37 des Wohnraumförderungsgesetzes und den hierzu ergangenen landesrechtlichen Vorschriften wegen Wegfalls der Mietbindung erloschen ist.;
Gebot;Gebot;;;(5) Von dem Jahresbetrag, der sich bei einer Erhöhung auf die ortsübliche Vergleichsmiete ergäbe, sind Drittmittel im Sinne des § 559a abzuziehen, im Falle des § 559a Abs. 1 mit 11 vom Hundert des Zuschusses.;
RF Einwendung;Unwirksamkeit;;;(6) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Gebot;Gebot;;;(1) Das Mieterhöhungsverlangen nach § 558 ist dem Mieter in Textform zu erklären und zu begründen.;
Recht;Erlaubnis;;;(2) Zur Begründung kann insbesondere Bezug genommen werden auf 1.einen Mietspiegel (§§ 558c, 558d), 2.eine Auskunft aus einer Mietdatenbank (§ 558e), 3.ein mit Gründen versehenes Gutachten eines öffentlich bestellten und vereidigten Sachverständigen, 4.entsprechende Entgelte für einzelne vergleichbare Wohnungen;
Gebot;Gebot;;;(3) Enthält ein qualifizierter Mietspiegel (§ 558d Abs. 1), bei dem die Vorschrift des § 558d Abs. 2 eingehalten ist, Angaben für die Wohnung, so hat der Vermieter in seinem Mieterhöhungsverlangen diese Angaben auch dann mitzuteilen, wenn er die Mieterhöhung auf ein anderes Begründungsmittel nach Absatz 2 stützt.;
RF;Rechtseigenschaft;;;(4) Bei der Bezugnahme auf einen Mietspiegel, der Spannen enthält, reicht es aus, wenn die verlangte Miete innerhalb der Spanne liegt.;
Recht;Erlaubnis;;;Ist in dem Zeitpunkt, in dem der Vermieter seine Erklärung abgibt, kein Mietspiegel vorhanden, bei dem § 558c Abs. 3 oder § 558d Abs. 2 eingehalten ist, so kann auch ein anderer, insbesondere ein veralteter Mietspiegel oder ein Mietspiegel einer vergleichbaren Gemeinde verwendet werden.;
RF Einwendung;Unwirksamkeit;;;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
RF;Pflichtzuweisung;;;(1) Soweit der Mieter der Mieterhöhung zustimmt, schuldet er die erhöhte Miete mit Beginn des dritten Kalendermonats nach dem Zugang des Erhöhungsverlangens.;
Recht;Erlaubnis;;;(2) Soweit der Mieter der Mieterhöhung nicht bis zum Ablauf des zweiten Kalendermonats nach dem Zugang des Verlangens zustimmt, kann der Vermieter auf Erteilung der Zustimmung klagen.;
Gebot;Gebot;;;Die Klage muss innerhalb von drei weiteren Monaten erhoben werden.;
Recht;Erlaubnis;;;(3) Ist der Klage ein Erhöhungsverlangen vorausgegangen, das den Anforderungen des § 558a nicht entspricht, so kann es der Vermieter im Rechtsstreit nachholen oder die Mängel des Erhöhungsverlangens beheben.;
RF;direkt §;;;Dem Mieter steht auch in diesem Fall die Zustimmungsfrist nach Absatz 2 Satz 1 zu.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Definition;direkt;;;(1) Ein Mietspiegel ist eine Übersicht über die ortsübliche Vergleichsmiete, soweit die Übersicht von der Gemeinde oder von Interessenvertretern der Vermieter und der Mieter gemeinsam erstellt oder anerkannt worden ist.;
Recht;Erlaubnis;;;(2) Mietspiegel können für das Gebiet einer Gemeinde oder mehrerer Gemeinden oder für Teile von Gemeinden erstellt werden.;
Gebot;Gebot;;;(3) Mietspiegel sollen im Abstand von zwei Jahren der Marktentwicklung angepasst werden.;
Gebot;Gebot;;;(4) Gemeinden sollen Mietspiegel erstellen, wenn hierfür ein Bedürfnis besteht und dies mit einem vertretbaren Aufwand möglich ist.;
Gebot;Gebot;;;Die Mietspiegel und ihre Änderungen sollen veröffentlicht werden.;
Recht;Ermächtigung;;;(5) Die Bundesregierung wird ermächtigt, durch Rechtsverordnung mit Zustimmung des Bundesrates Vorschriften über den näheren Inhalt und das Verfahren zur Aufstellung und Anpassung von Mietspiegeln zu erlassen.;
Definition;direkt;;;(1) Ein qualifizierter Mietspiegel ist ein Mietspiegel, der nach anerkannten wissenschaftlichen Grundsätzen erstellt und von der Gemeinde oder von Interessenvertretern der Vermieter und der Mieter anerkannt worden ist.;
Gebot;Gebot;;;(2) Der qualifizierte Mietspiegel ist im Abstand von zwei Jahren der Marktentwicklung anzupassen.;
Recht;Erlaubnis;;;Dabei kann eine Stichprobe oder die Entwicklung des vom Statistischen Bundesamt ermittelten Preisindexes für die Lebenshaltung aller privaten Haushalte in Deutschland zugrunde gelegt werden.;
Gebot;Gebot;;;Nach vier Jahren ist der qualifizierte Mietspiegel neu zu erstellen.;
Definition;direkt;;;Eine Mietdatenbank ist eine zur Ermittlung der ortsüblichen Vergleichsmiete fortlaufend geführte Sammlung von Mieten, die von der Gemeinde oder von Interessenvertretern der Vermieter und der Mieter gemeinsam geführt oder anerkannt wird und aus der Auskünfte gegeben werden, die für einzelne Wohnungen einen Schluss auf die ortsübliche Vergleichsmiete zulassen.;
Recht;Erlaubnis;;;(1) Hat der Vermieter Modernisierungsmaßnahmen im Sinne des § 555b Nummer 1, 3, 4, 5 oder 6 durchgeführt, so kann er die jährliche Miete um 11 Prozent der für die Wohnung aufgewendeten Kosten erhöhen.;
RF;negativ;;;(2) Kosten, die für Erhaltungsmaßnahmen erforderlich gewesen wären, gehören nicht zu den aufgewendeten Kosten nach Absatz 1.;
Gebot;Gebot;;;(3) Werden Modernisierungsmaßnahmen für mehrere Wohnungen durchgeführt, so sind die Kosten angemessen auf die einzelnen Wohnungen aufzuteilen.;
RF Einwendung;Ausschluss;;;(4) Die Mieterhöhung ist ausgeschlossen, soweit sie auch unter Berücksichtigung der voraussichtlichen künftigen Betriebskosten für den Mieter eine Härte bedeuten würde, die auch unter Würdigung der berechtigten Interessen des Vermieters nicht zu rechtfertigen ist.;
RF Einwendung;Maßstab;;;Eine Abwägung nach Satz 1 findet nicht statt, wenn 1.die Mietsache lediglich in einen Zustand versetzt wurde, der allgemein üblich ist, oder2.die Modernisierungsmaßnahme auf Grund von Umständen durchgeführt wurde, die der Vermieter nicht zu vertreten hatte.;
Gebot;Maßstab;;;(5) Umstände, die eine Härte nach Absatz 4 Satz 1 begründen, sind nur zu berücksichtigen, wenn sie nach § 555d Absatz 3 bis 5 rechtzeitig mitgeteilt worden sind.;
Verweisung;negativ;;;Die Bestimmungen über die Ausschlussfrist nach Satz 1 sind nicht anzuwenden, wenn die tatsächliche Mieterhöhung die angekündigte um mehr als 10 Prozent übersteigt.;
RF Einwendung;Unwirksamkeit;;;(6) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
RF;Maßstab;;;Dieser wird errechnet aus dem Unterschied zwischen dem ermäßigten Zinssatz und dem marktüblichen Zinssatz für den Ursprungsbetrag des Darlehens.;
RF;Rechtseigenschaft;;;Maßgebend ist der marktübliche Zinssatz für erstrangige Hypotheken zum Zeitpunkt der Beendigung der Modernisierungsmaßnahmen.;
RF;Rechtseigenschaft;;;Werden Zuschüsse oder Darlehen zur Deckung von laufenden Aufwendungen gewährt, so verringert sich der Erhöhungsbetrag um den Jahresbetrag des Zuschusses oder Darlehens.;
RF;Gleichstellung;;;(3) Ein Mieterdarlehen, eine Mietvorauszahlung oder eine von einem Dritten für den Mieter erbrachte Leistung für die Modernisierungsmaßnahmen stehen einem Darlehen aus öffentlichen Haushalten gleich.;
Gebot;Gebot;;;(4) Kann nicht festgestellt werden, in welcher Höhe Zuschüsse oder Darlehen für die einzelnen Wohnungen gewährt worden sind, so sind sie nach dem Verhältnis der für die einzelnen Wohnungen aufgewendeten Kosten aufzuteilen.;
RF Einwendung;Unwirksamkeit;;;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Gebot;Gebot;;;(1) Die Mieterhöhung nach § 559 ist dem Mieter in Textform zu erklären.;
RF Einwendung;Wirksamkeit beschränkt;;;Die Erklärung ist nur wirksam, wenn in ihr die Erhöhung auf Grund der entstandenen Kosten berechnet und entsprechend den Voraussetzungen der §§ 559 und 559a erläutert wird.;
Verweisung;analog §;;;§ 555c Absatz 3 gilt entsprechend.;
RF;Pflichtzuweisung;;;(2) Der Mieter schuldet die erhöhte Miete mit Beginn des dritten Monats nach dem Zugang der Erklärung.;
RF;Frist;;;Die Frist verlängert sich um sechs Monate, wenn 1.der Vermieter dem Mieter die Modernisierungsmaßnahme nicht nach den Vorschriften des § 555c Absatz 1 und 3 bis 5 angekündigt hat oder2.die tatsächliche Mieterhöhung die angekündigte um mehr als 10 Prozent übersteigt.;
RF Einwendung;Unwirksamkeit;;;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Bei einer Betriebskostenpauschale ist der Vermieter berechtigt, Erhöhungen der Betriebskosten durch Erklärung in Textform anteilig auf den Mieter umzulegen, soweit dies im Mietvertrag vereinbart ist.;
RF Einwendung;Wirksamkeit beschränkt;;;Die Erklärung ist nur wirksam, wenn in ihr der Grund für die Umlage bezeichnet und erläutert wird.;
RF;Pflichtzuweisung;;;(2) Der Mieter schuldet den auf ihn entfallenden Teil der Umlage mit Beginn des auf die Erklärung folgenden übernächsten Monats.;
Gebot;Gebot;;;(3) Ermäßigen sich die Betriebskosten, so ist eine Betriebskostenpauschale vom Zeitpunkt der Ermäßigung an entsprechend herabzusetzen.;
Gebot;Gebot;;;Die Ermäßigung ist dem Mieter unverzüglich mitzuteilen.;
Recht;Erlaubnis;;;(4) Sind Betriebskostenvorauszahlungen vereinbart worden, so kann jede Vertragspartei nach einer Abrechnung durch Erklärung in Textform eine Anpassung auf eine angemessene Höhe vornehmen.;
Gebot;Gebot;;;(5) Bei Veränderungen von Betriebskosten ist der Grundsatz der Wirtschaftlichkeit zu beachten.;
RF Einwendung;Unwirksamkeit;;;(6) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Macht der Vermieter eine Mieterhöhung nach § 558 oder § 559 geltend, so kann der Mieter bis zum Ablauf des zweiten Monats nach dem Zugang der Erklärung des Vermieters das Mietverhältnis außerordentlich zum Ablauf des übernächsten Monats kündigen.;
RF;Rechtseigenschaft;;;Kündigt der Mieter, so tritt die Mieterhöhung nicht ein.;
RF Einwendung;Unwirksamkeit;;;(2) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
RF;Rechtzuweisung;;;(1) Der Vermieter hat für seine Forderungen aus dem Mietverhältnis ein Pfandrecht an den eingebrachten Sachen des Mieters.;
RF;Rechtseigenschaft;;;Es erstreckt sich nicht auf die Sachen, die der Pfändung nicht unterliegen.;
Recht;Verbot;;;(2) Für künftige Entschädigungsforderungen und für die Miete für eine spätere Zeit als das laufende und das folgende Mietjahr kann das Pfandrecht nicht geltend gemacht werden.;
RF;Erlöschen;;;Das Pfandrecht des Vermieters erlischt mit der Entfernung der Sachen von dem Grundstück, außer wenn diese ohne Wissen oder unter Widerspruch des Vermieters erfolgt.;
Recht;Verbot;;;Der Vermieter kann nicht widersprechen, wenn sie den gewöhnlichen Lebensverhältnissen entspricht oder wenn die zurückbleibenden Sachen zur Sicherung des Vermieters offenbar ausreichen.;
Recht;Erlaubnis;;;(1) Der Vermieter darf die Entfernung der Sachen, die seinem Pfandrecht unterliegen, auch ohne Anrufen des Gerichts verhindern, soweit er berechtigt ist, der Entfernung zu widersprechen.;
Recht;Erlaubnis;;;Wenn der Mieter auszieht, darf der Vermieter diese Sachen in seinen Besitz nehmen.;
Recht;Erlaubnis;;;(2) Sind die Sachen ohne Wissen oder unter Widerspruch des Vermieters entfernt worden, so kann er die Herausgabe zum Zwecke der Zurückschaffung auf das Grundstück und, wenn der Mieter ausgezogen ist, die Überlassung des Besitzes verlangen.;
RF;Erlöschen;;;Das Pfandrecht erlischt mit dem Ablauf eines Monats, nachdem der Vermieter von der Entfernung der Sachen Kenntnis erlangt hat, wenn er diesen Anspruch nicht vorher gerichtlich geltend gemacht hat.;
Recht;Erlaubnis;;;Der Mieter kann die Geltendmachung des Pfandrechts des Vermieters durch Sicherheitsleistung abwenden.;
Recht;Erlaubnis;;;Er kann jede einzelne Sache dadurch von dem Pfandrecht befreien, dass er in Höhe ihres Wertes Sicherheit leistet.;
Recht;Verbot;;;Wird eine Sache, die dem Pfandrecht des Vermieters unterliegt, für einen anderen Gläubiger gepfändet, so kann diesem gegenüber das Pfandrecht nicht wegen der Miete für eine frühere Zeit als das letzte Jahr vor der Pfändung geltend gemacht werden.;
RF;Rechtszuweisung;;;(1) Der Ehegatte, der mit dem Mieter einen gemeinsamen Haushalt führt, tritt mit dem Tod des Mieters in das Mietverhältnis ein.;
RF;Gleichstellung;;;Dasselbe gilt für den Lebenspartner.;
RF;Rechtzuweisung;;;(2) Leben in dem gemeinsamen Haushalt Kinder des Mieters, treten diese mit dem Tod des Mieters in das Mietverhältnis ein, wenn nicht der Ehegatte eintritt.;
RF;Rechtszuweisung;;;Andere Familienangehörige, die mit dem Mieter einen gemeinsamen Haushalt führen, treten mit dem Tod des Mieters in das Mietverhältnis ein, wenn nicht der Ehegatte oder der Lebenspartner eintritt.;
RF;Gleichstellung;;;Dasselbe gilt für Personen, die mit dem Mieter einen auf Dauer angelegten gemeinsamen Haushalt führen.;
Verweisung;analog §;;;Für geschäftsunfähige oder in der Geschäftsfähigkeit beschränkte Personen gilt § 210 entsprechend.;
Recht;Erlaubnis;;;Sind mehrere Personen in das Mietverhältnis eingetreten, so kann jeder die Erklärung für sich abgeben.;
Recht;Erlaubnis;;;(4) Der Vermieter kann das Mietverhältnis innerhalb eines Monats, nachdem er von dem endgültigen Eintritt in das Mietverhältnis Kenntnis erlangt hat, außerordentlich mit der gesetzlichen Frist kündigen, wenn in der Person des Eingetretenen ein wichtiger Grund vorliegt.;
RF Einwendung;Unwirksamkeit;;;(5) Eine abweichende Vereinbarung zum Nachteil des Mieters oder solcher Personen, die nach Absatz 1 oder 2 eintrittsberechtigt sind, ist unwirksam.;
RF;Rechtseigenschaft;;;(1) Sind mehrere Personen im Sinne des § 563 gemeinsam Mieter, so wird das Mietverhältnis beim Tod eines Mieters mit den überlebenden Mietern fortgesetzt.;
Recht;Erlaubnis;;;(2) Die überlebenden Mieter können das Mietverhältnis innerhalb eines Monats, nachdem sie vom Tod des Mieters Kenntnis erlangt haben, außerordentlich mit der gesetzlichen Frist kündigen.;
RF Einwendung;Unwirksamkeit;;;(3) Eine abweichende Vereinbarung zum Nachteil der Mieter ist unwirksam.;
RF;Pflichtzuweisung;;;(1) Die Personen, die nach § 563 in das Mietverhältnis eingetreten sind oder mit denen es nach § 563a fortgesetzt wird, haften neben dem Erben für die bis zum Tod des Mieters entstandenen Verbindlichkeiten als Gesamtschuldner.;
RF;Pflichtzuweisung;;;Im Verhältnis zu diesen Personen haftet der Erbe allein, soweit nichts anderes bestimmt ist.;
Gebot;Gebot;;;(2) Hat der Mieter die Miete für einen nach seinem Tod liegenden Zeitraum im Voraus entrichtet, sind die Personen, die nach § 563 in das Mietverhältnis eingetreten sind oder mit denen es nach § 563a fortgesetzt wird, verpflichtet, dem Erben dasjenige herauszugeben, was sie infolge der Vorausentrichtung der Miete ersparen oder erlangen.;
Recht;Erlaubnis;;;(3) Der Vermieter kann, falls der verstorbene Mieter keine Sicherheit geleistet hat, von den Personen, die nach § 563 in das Mietverhältnis eingetreten sind oder mit denen es nach § 563a fortgesetzt wird, nach Maßgabe des § 551 eine Sicherheitsleistung verlangen.;
RF;Rechtseigenschaft;;;Treten beim Tod des Mieters keine Personen im Sinne des § 563 in das Mietverhältnis ein oder wird es nicht mit ihnen nach § 563a fortgesetzt, so wird es mit dem Erben fortgesetzt.;
Recht;Erlaubnis;;;In diesem Fall ist sowohl der Erbe als auch der Vermieter berechtigt, das Mietverhältnis innerhalb eines Monats außerordentlich mit der gesetzlichen Frist zu kündigen, nachdem sie vom Tod des Mieters und davon Kenntnis erlangt haben, dass ein Eintritt in das Mietverhältnis oder dessen Fortsetzung nicht erfolgt sind.;
RF;Rechtzuweisung;;;(1) Soll der Mieter nach dem Mietvertrag den gemieteten Wohnraum gewerblich einem Dritten zu Wohnzwecken weitervermieten, so tritt der Vermieter bei der Beendigung des Mietverhältnisses in die Rechte und Pflichten aus dem Mietverhältnis zwischen dem Mieter und dem Dritten ein.;
RF;Rechtzuweisung;;;Schließt der Vermieter erneut einen Mietvertrag zur gewerblichen Weitervermietung ab, so tritt der Mieter anstelle der bisherigen Vertragspartei in die Rechte und Pflichten aus dem Mietverhältnis mit dem Dritten ein.;
Verweisung;analog Vorschriftenkomplex;;;(2) Die §§ 566a bis 566e gelten entsprechend.;
RF Einwendung;Unwirksamkeit;;;(3) Eine zum Nachteil des Dritten abweichende Vereinbarung ist unwirksam.;
RF;Rechtzuweisung;;;(1) Wird der vermietete Wohnraum nach der Überlassung an den Mieter von dem Vermieter an einen Dritten veräußert, so tritt der Erwerber anstelle des Vermieters in die sich während der Dauer seines Eigentums aus dem Mietverhältnis ergebenden Rechte und Pflichten ein.;
RF;Pflichtzuweisung;;;(2) Erfüllt der Erwerber die Pflichten nicht, so haftet der Vermieter für den von dem Erwerber zu ersetzenden Schaden wie ein Bürge, der auf die Einrede der Vorausklage verzichtet hat.;
RF;Freistellung;;;Erlangt der Mieter von dem Übergang des Eigentums durch Mitteilung des Vermieters Kenntnis, so wird der Vermieter von der Haftung befreit, wenn nicht der Mieter das Mietverhältnis zum ersten Termin kündigt, zu dem die Kündigung zulässig ist.;
RF;Rechtzuweisung;;;Hat der Mieter des veräußerten Wohnraums dem Vermieter für die Erfüllung seiner Pflichten Sicherheit geleistet, so tritt der Erwerber in die dadurch begründeten Rechte und Pflichten ein.;
Gebot;Gebot;;;Kann bei Beendigung des Mietverhältnisses der Mieter die Sicherheit von dem Erwerber nicht erlangen, so ist der Vermieter weiterhin zur Rückgewähr verpflichtet.;
RF Einwendung;Wirksamkeit beschränkt;;;(1) Hat der Vermieter vor dem Übergang des Eigentums über die Miete verfügt, die auf die Zeit der Berechtigung des Erwerbers entfällt, so ist die Verfügung wirksam, soweit sie sich auf die Miete für den zur Zeit des Eigentumsübergangs laufenden Kalendermonat bezieht.;
RF Einwendung;Wirksamkeit beschränkt;;;Geht das Eigentum nach dem 15. Tag des Monats über, so ist die Verfügung auch wirksam, soweit sie sich auf die Miete für den folgenden Kalendermonat bezieht.;
Gebot;Wirksamkeit beschränkt;;;(2) Eine Verfügung über die Miete für eine spätere Zeit muss der Erwerber gegen sich gelten lassen, wenn er sie zur Zeit des Übergangs des Eigentums kennt.;
RF Einwendung;Wirksamkeit beschränkt;;;Ein Rechtsgeschäft, das zwischen dem Mieter und dem Vermieter über die Mietforderung vorgenommen wird, insbesondere die Entrichtung der Miete, ist dem Erwerber gegenüber wirksam, soweit es sich nicht auf die Miete für eine spätere Zeit als den Kalendermonat bezieht, in welchem der Mieter von dem Übergang des Eigentums Kenntnis erlangt.;
RF Einwendung;Wirksamkeit beschränkt;;;Erlangt der Mieter die Kenntnis nach dem 15. Tag des Monats, so ist das Rechtsgeschäft auch wirksam, soweit es sich auf die Miete für den folgenden Kalendermonat bezieht.;
RF Einwendung;Unwirksamkeit;;;Ein Rechtsgeschäft, das nach dem Übergang des Eigentums vorgenommen wird, ist jedoch unwirksam, wenn der Mieter bei der Vornahme des Rechtsgeschäfts von dem Übergang des Eigentums Kenntnis hat.;
Recht;Erlaubnis;;;Soweit die Entrichtung der Miete an den Vermieter nach § 566c dem Erwerber gegenüber wirksam ist, kann der Mieter gegen die Mietforderung des Erwerbers eine ihm gegen den Vermieter zustehende Forderung aufrechnen.;
RF Einwendung;Ausschluss;;;Die Aufrechnung ist ausgeschlossen, wenn der Mieter die Gegenforderung erworben hat, nachdem er von dem Übergang des Eigentums Kenntnis erlangt hat, oder wenn die Gegenforderung erst nach der Erlangung der Kenntnis und später als die Miete fällig geworden ist.;
Gebot;Wirksamkeit beschränkt;;;(1) Teilt der Vermieter dem Mieter mit, dass er das Eigentum an dem vermieteten Wohnraum auf einen Dritten übertragen hat, so muss er in Ansehung der Mietforderung dem Mieter gegenüber die mitgeteilte Übertragung gegen sich gelten lassen, auch wenn sie nicht erfolgt oder nicht wirksam ist.;
Recht;Erlaubnis;;;(2) Die Mitteilung kann nur mit Zustimmung desjenigen zurückgenommen werden, der als der neue Eigentümer bezeichnet worden ist.;
Verweisung;analog Vorschriftenkomplex;;;Wird der vermietete Wohnraum nach der Überlassung an den Mieter von dem Vermieter mit dem Recht eines Dritten belastet, so sind die §§ 566 bis 566e entsprechend anzuwenden, wenn durch die Ausübung des Rechts dem Mieter der vertragsgemäße Gebrauch entzogen wird.;
Gebot;Gebot;;;Wird der Mieter durch die Ausübung des Rechts in dem vertragsgemäßen Gebrauch beschränkt, so ist der Dritte dem Mieter gegenüber verpflichtet, die Ausübung zu unterlassen, soweit sie den vertragsgemäßen Gebrauch beeinträchtigen würde.;
RF;Gleichstellung;;;Hat vor der Überlassung des vermieteten Wohnraums an den Mieter der Vermieter den Wohnraum an einen Dritten veräußert oder mit einem Recht belastet, durch dessen Ausübung der vertragsgemäße Gebrauch dem Mieter entzogen oder beschränkt wird, so gilt das Gleiche wie in den Fällen des § 566 Abs. 1 und des § 567, wenn der Erwerber dem Vermieter gegenüber die Erfüllung der sich aus dem Mietverhältnis ergebenden Pflichten übernommen hat.;
Verweisung;analog Vorschriftenkomplex;;;Wird der vermietete Wohnraum von dem Erwerber weiterveräußert oder belastet, so sind § 566 Abs. 1 und die §§ 566a bis 567a entsprechend anzuwenden.;
RF;Form;;;(1) Die Kündigung des Mietverhältnisses bedarf der schriftlichen Form.;
Gebot;Gebot;;;(2) Der Vermieter soll den Mieter auf die Möglichkeit, die Form und die Frist des Widerspruchs nach den §§ 574 bis 574b rechtzeitig hinweisen.;
Definition;direkt;;;(1) Ein wichtiger Grund im Sinne des § 543 Abs. 1 liegt für den Mieter auch vor, wenn der gemietete Wohnraum so beschaffen ist, dass seine Benutzung mit einer erheblichen Gefährdung der Gesundheit verbunden ist.;
RF;Gleichstellung;;;Dies gilt auch, wenn der Mieter die Gefahr bringende Beschaffenheit bei Vertragsschluss gekannt oder darauf verzichtet hat, die ihm wegen dieser Beschaffenheit zustehenden Rechte geltend zu machen.;
Definition;direkt;;;(2) Ein wichtiger Grund im Sinne des § 543 Abs. 1 liegt ferner vor, wenn eine Vertragspartei den Hausfrieden nachhaltig stört, so dass dem Kündigenden unter Berücksichtigung aller Umstände des Einzelfalls, insbesondere eines Verschuldens der Vertragsparteien, und unter Abwägung der beiderseitigen Interessen die Fortsetzung des Mietverhältnisses bis zum Ablauf der Kündigungsfrist oder bis zur sonstigen Beendigung des Mietverhältnisses nicht zugemutet werden kann.;
Definition;direkt;;;(2a) Ein wichtiger Grund im Sinne des § 543 Absatz 1 liegt ferner vor, wenn der Mieter mit einer Sicherheitsleistung nach § 551 in Höhe eines Betrages im Verzug ist, der der zweifachen Monatsmiete entspricht.;
Gebot;Maßstab;;;Die als Pauschale oder als Vorauszahlung ausgewiesenen Betriebskosten sind bei der Berechnung der Monatsmiete nach Satz 1 nicht zu berücksichtigen.;
RF;Frist;;;Einer Abhilfefrist oder einer Abmahnung nach § 543 Absatz 3 Satz 1 bedarf es nicht.;
Verweisung;analog §;;;Absatz 3 Nummer 2 Satz 1 sowie § 543 Absatz 2 Satz 2 sind entsprechend anzuwenden.;
RF;Rechtseigenschaft;;;1.Im Falle des § 543 Abs. 2 Satz 1 Nr. 3 Buchstabe a ist der rückständige Teil der Miete nur dann als nicht unerheblich anzusehen, wenn er die Miete für einen Monat übersteigt.;
RF;Ausnahme;;;Dies gilt nicht, wenn der Wohnraum nur zum vorübergehenden Gebrauch vermietet ist.;
RF Einwendung;Unwirksamkeit;;;2.Die Kündigung wird auch dann unwirksam, wenn der Vermieter spätestens bis zum Ablauf von zwei Monaten nach Eintritt der Rechtshängigkeit des Räumungsanspruchs hinsichtlich der fälligen Miete und der fälligen Entschädigung nach § 546a Abs. 1 befriedigt wird oder sich eine öffentliche Stelle zur Befriedigung verpflichtet.;
RF;Ausnahme;;;Dies gilt nicht, wenn der Kündigung vor nicht länger als zwei Jahren bereits eine nach Satz 1 unwirksam gewordene Kündigung vorausgegangen ist.;
