Funktion;Text
Duty;(5) Von dem Jahresbetrag, der sich bei einer Erhöhung auf die ortsübliche Vergleichsmiete ergäbe, sind Drittmittel im Sinne des § 559a abzuziehen, im Falle des § 559a Abs. 1 mit 11 vom Hundert des Zuschusses.
Objection;(6) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Duty;(1) Das Mieterhöhungsverlangen nach § 558 ist dem Mieter in Textform zu erklären und zu begründen.
Permission;"(2) Zur Begründung kann insbesondere Bezug genommen werden auf 1.einen Mietspiegel (§§ 558c, 558d), 2.eine Auskunft aus einer Mietdatenbank (§ 558e), 3.ein mit Gründen versehenes Gutachten eines öffentlich bestellten und vereidigten Sachverständigen, 4.entsprechende Entgelte für einzelne vergleichbare Wohnungen; hierbei genügt die Benennung von drei Wohnungen."
Duty;(3) Enthält ein qualifizierter Mietspiegel (§ 558d Abs. 1), bei dem die Vorschrift des § 558d Abs. 2 eingehalten ist, Angaben für die Wohnung, so hat der Vermieter in seinem Mieterhöhungsverlangen diese Angaben auch dann mitzuteilen, wenn er die Mieterhöhung auf ein anderes Begründungsmittel nach Absatz 2 stützt.
Consequence;(4) Bei der Bezugnahme auf einen Mietspiegel, der Spannen enthält, reicht es aus, wenn die verlangte Miete innerhalb der Spanne liegt.
Permission;Ist in dem Zeitpunkt, in dem der Vermieter seine Erklärung abgibt, kein Mietspiegel vorhanden, bei dem § 558c Abs. 3 oder § 558d Abs. 2 eingehalten ist, so kann auch ein anderer, insbesondere ein veralteter Mietspiegel oder ein Mietspiegel einer vergleichbaren Gemeinde verwendet werden.
Objection;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Consequence;(1) Soweit der Mieter der Mieterhöhung zustimmt, schuldet er die erhöhte Miete mit Beginn des dritten Kalendermonats nach dem Zugang des Erhöhungsverlangens.
Permission;(2) Soweit der Mieter der Mieterhöhung nicht bis zum Ablauf des zweiten Kalendermonats nach dem Zugang des Verlangens zustimmt, kann der Vermieter auf Erteilung der Zustimmung klagen.
Duty;Die Klage muss innerhalb von drei weiteren Monaten erhoben werden.
Permission;(3) Ist der Klage ein Erhöhungsverlangen vorausgegangen, das den Anforderungen des § 558a nicht entspricht, so kann es der Vermieter im Rechtsstreit nachholen oder die Mängel des Erhöhungsverlangens beheben.
Consequence;Dem Mieter steht auch in diesem Fall die Zustimmungsfrist nach Absatz 2 Satz 1 zu.
Objection;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Definition;(1) Ein Mietspiegel ist eine Übersicht über die ortsübliche Vergleichsmiete, soweit die Übersicht von der Gemeinde oder von Interessenvertretern der Vermieter und der Mieter gemeinsam erstellt oder anerkannt worden ist.
Permission;(2) Mietspiegel können für das Gebiet einer Gemeinde oder mehrerer Gemeinden oder für Teile von Gemeinden erstellt werden.
Duty;(3) Mietspiegel sollen im Abstand von zwei Jahren der Marktentwicklung angepasst werden.
Duty;(4) Gemeinden sollen Mietspiegel erstellen, wenn hierfür ein Bedürfnis besteht und dies mit einem vertretbaren Aufwand möglich ist.
Duty;Die Mietspiegel und ihre Änderungen sollen veröffentlicht werden.
Permission;(5) Die Bundesregierung wird ermächtigt, durch Rechtsverordnung mit Zustimmung des Bundesrates Vorschriften über den näheren Inhalt und das Verfahren zur Aufstellung und Anpassung von Mietspiegeln zu erlassen.
Definition;(1) Ein qualifizierter Mietspiegel ist ein Mietspiegel, der nach anerkannten wissenschaftlichen Grundsätzen erstellt und von der Gemeinde oder von Interessenvertretern der Vermieter und der Mieter anerkannt worden ist.
Duty;(2) Der qualifizierte Mietspiegel ist im Abstand von zwei Jahren der Marktentwicklung anzupassen.
Permission;Dabei kann eine Stichprobe oder die Entwicklung des vom Statistischen Bundesamt ermittelten Preisindexes für die Lebenshaltung aller privaten Haushalte in Deutschland zugrunde gelegt werden.
Duty;Nach vier Jahren ist der qualifizierte Mietspiegel neu zu erstellen.
Definition;Eine Mietdatenbank ist eine zur Ermittlung der ortsüblichen Vergleichsmiete fortlaufend geführte Sammlung von Mieten, die von der Gemeinde oder von Interessenvertretern der Vermieter und der Mieter gemeinsam geführt oder anerkannt wird und aus der Auskünfte gegeben werden, die für einzelne Wohnungen einen Schluss auf die ortsübliche Vergleichsmiete zulassen.
Permission;(1) Hat der Vermieter Modernisierungsmaßnahmen im Sinne des § 555b Nummer 1, 3, 4, 5 oder 6 durchgeführt, so kann er die jährliche Miete um 11 Prozent der für die Wohnung aufgewendeten Kosten erhöhen.
Consequence;(2) Kosten, die für Erhaltungsmaßnahmen erforderlich gewesen wären, gehören nicht zu den aufgewendeten Kosten nach Absatz 1.
Duty;(3) Werden Modernisierungsmaßnahmen für mehrere Wohnungen durchgeführt, so sind die Kosten angemessen auf die einzelnen Wohnungen aufzuteilen.
Objection;(4) Die Mieterhöhung ist ausgeschlossen, soweit sie auch unter Berücksichtigung der voraussichtlichen künftigen Betriebskosten für den Mieter eine Härte bedeuten würde, die auch unter Würdigung der berechtigten Interessen des Vermieters nicht zu rechtfertigen ist.
Objection;Eine Abwägung nach Satz 1 findet nicht statt, wenn 1.die Mietsache lediglich in einen Zustand versetzt wurde, der allgemein üblich ist, oder2.die Modernisierungsmaßnahme auf Grund von Umständen durchgeführt wurde, die der Vermieter nicht zu vertreten hatte.
Duty;(5) Umstände, die eine Härte nach Absatz 4 Satz 1 begründen, sind nur zu berücksichtigen, wenn sie nach § 555d Absatz 3 bis 5 rechtzeitig mitgeteilt worden sind.
Reference;Die Bestimmungen über die Ausschlussfrist nach Satz 1 sind nicht anzuwenden, wenn die tatsächliche Mieterhöhung die angekündigte um mehr als 10 Prozent übersteigt.
Objection;(6) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Consequence;Dieser wird errechnet aus dem Unterschied zwischen dem ermäßigten Zinssatz und dem marktüblichen Zinssatz für den Ursprungsbetrag des Darlehens.
Consequence;Maßgebend ist der marktübliche Zinssatz für erstrangige Hypotheken zum Zeitpunkt der Beendigung der Modernisierungsmaßnahmen.
Consequence;Werden Zuschüsse oder Darlehen zur Deckung von laufenden Aufwendungen gewährt, so verringert sich der Erhöhungsbetrag um den Jahresbetrag des Zuschusses oder Darlehens.
Consequence;(3) Ein Mieterdarlehen, eine Mietvorauszahlung oder eine von einem Dritten für den Mieter erbrachte Leistung für die Modernisierungsmaßnahmen stehen einem Darlehen aus öffentlichen Haushalten gleich.
Duty;(4) Kann nicht festgestellt werden, in welcher Höhe Zuschüsse oder Darlehen für die einzelnen Wohnungen gewährt worden sind, so sind sie nach dem Verhältnis der für die einzelnen Wohnungen aufgewendeten Kosten aufzuteilen.
Objection;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Duty;(1) Die Mieterhöhung nach § 559 ist dem Mieter in Textform zu erklären.
Objection;Die Erklärung ist nur wirksam, wenn in ihr die Erhöhung auf Grund der entstandenen Kosten berechnet und entsprechend den Voraussetzungen der §§ 559 und 559a erläutert wird.
Reference;§ 555c Absatz 3 gilt entsprechend.
Consequence;(2) Der Mieter schuldet die erhöhte Miete mit Beginn des dritten Monats nach dem Zugang der Erklärung.
Consequence;Die Frist verlängert sich um sechs Monate, wenn 1.der Vermieter dem Mieter die Modernisierungsmaßnahme nicht nach den Vorschriften des § 555c Absatz 1 und 3 bis 5 angekündigt hat oder2.die tatsächliche Mieterhöhung die angekündigte um mehr als 10 Prozent übersteigt.
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Bei einer Betriebskostenpauschale ist der Vermieter berechtigt, Erhöhungen der Betriebskosten durch Erklärung in Textform anteilig auf den Mieter umzulegen, soweit dies im Mietvertrag vereinbart ist.
Objection;Die Erklärung ist nur wirksam, wenn in ihr der Grund für die Umlage bezeichnet und erläutert wird.
Consequence;(2) Der Mieter schuldet den auf ihn entfallenden Teil der Umlage mit Beginn des auf die Erklärung folgenden übernächsten Monats.
Duty;(3) Ermäßigen sich die Betriebskosten, so ist eine Betriebskostenpauschale vom Zeitpunkt der Ermäßigung an entsprechend herabzusetzen.
Duty;Die Ermäßigung ist dem Mieter unverzüglich mitzuteilen.
Permission;(4) Sind Betriebskostenvorauszahlungen vereinbart worden, so kann jede Vertragspartei nach einer Abrechnung durch Erklärung in Textform eine Anpassung auf eine angemessene Höhe vornehmen.
Duty;(5) Bei Veränderungen von Betriebskosten ist der Grundsatz der Wirtschaftlichkeit zu beachten.
Objection;(6) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Macht der Vermieter eine Mieterhöhung nach § 558 oder § 559 geltend, so kann der Mieter bis zum Ablauf des zweiten Monats nach dem Zugang der Erklärung des Vermieters das Mietverhältnis außerordentlich zum Ablauf des übernächsten Monats kündigen.
Consequence;Kündigt der Mieter, so tritt die Mieterhöhung nicht ein.
Objection;(2) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Consequence;(1) Der Vermieter hat für seine Forderungen aus dem Mietverhältnis ein Pfandrecht an den eingebrachten Sachen des Mieters.
Consequence;Es erstreckt sich nicht auf die Sachen, die der Pfändung nicht unterliegen.
Prohibition;(2) Für künftige Entschädigungsforderungen und für die Miete für eine spätere Zeit als das laufende und das folgende Mietjahr kann das Pfandrecht nicht geltend gemacht werden.
Consequence;Das Pfandrecht des Vermieters erlischt mit der Entfernung der Sachen von dem Grundstück, außer wenn diese ohne Wissen oder unter Widerspruch des Vermieters erfolgt.
Prohibition;Der Vermieter kann nicht widersprechen, wenn sie den gewöhnlichen Lebensverhältnissen entspricht oder wenn die zurückbleibenden Sachen zur Sicherung des Vermieters offenbar ausreichen.
Permission;(1) Der Vermieter darf die Entfernung der Sachen, die seinem Pfandrecht unterliegen, auch ohne Anrufen des Gerichts verhindern, soweit er berechtigt ist, der Entfernung zu widersprechen.
Permission;Wenn der Mieter auszieht, darf der Vermieter diese Sachen in seinen Besitz nehmen.
Permission;(2) Sind die Sachen ohne Wissen oder unter Widerspruch des Vermieters entfernt worden, so kann er die Herausgabe zum Zwecke der Zurückschaffung auf das Grundstück und, wenn der Mieter ausgezogen ist, die Überlassung des Besitzes verlangen.
Consequence;Das Pfandrecht erlischt mit dem Ablauf eines Monats, nachdem der Vermieter von der Entfernung der Sachen Kenntnis erlangt hat, wenn er diesen Anspruch nicht vorher gerichtlich geltend gemacht hat.
Permission;Der Mieter kann die Geltendmachung des Pfandrechts des Vermieters durch Sicherheitsleistung abwenden.
Permission;Er kann jede einzelne Sache dadurch von dem Pfandrecht befreien, dass er in Höhe ihres Wertes Sicherheit leistet.
Prohibition;Wird eine Sache, die dem Pfandrecht des Vermieters unterliegt, für einen anderen Gläubiger gepfändet, so kann diesem gegenüber das Pfandrecht nicht wegen der Miete für eine frühere Zeit als das letzte Jahr vor der Pfändung geltend gemacht werden.
Consequence;(1) Der Ehegatte, der mit dem Mieter einen gemeinsamen Haushalt führt, tritt mit dem Tod des Mieters in das Mietverhältnis ein.
Continuation;Dasselbe gilt für den Lebenspartner.
Consequence;(2) Leben in dem gemeinsamen Haushalt Kinder des Mieters, treten diese mit dem Tod des Mieters in das Mietverhältnis ein, wenn nicht der Ehegatte eintritt.
Consequence;Andere Familienangehörige, die mit dem Mieter einen gemeinsamen Haushalt führen, treten mit dem Tod des Mieters in das Mietverhältnis ein, wenn nicht der Ehegatte oder der Lebenspartner eintritt.
Continuation;Dasselbe gilt für Personen, die mit dem Mieter einen auf Dauer angelegten gemeinsamen Haushalt führen.
Reference;Für geschäftsunfähige oder in der Geschäftsfähigkeit beschränkte Personen gilt § 210 entsprechend.
Permission;Sind mehrere Personen in das Mietverhältnis eingetreten, so kann jeder die Erklärung für sich abgeben.
Permission;(4) Der Vermieter kann das Mietverhältnis innerhalb eines Monats, nachdem er von dem endgültigen Eintritt in das Mietverhältnis Kenntnis erlangt hat, außerordentlich mit der gesetzlichen Frist kündigen, wenn in der Person des Eingetretenen ein wichtiger Grund vorliegt.
Objection;(5) Eine abweichende Vereinbarung zum Nachteil des Mieters oder solcher Personen, die nach Absatz 1 oder 2 eintrittsberechtigt sind, ist unwirksam.
Consequence;(1) Sind mehrere Personen im Sinne des § 563 gemeinsam Mieter, so wird das Mietverhältnis beim Tod eines Mieters mit den überlebenden Mietern fortgesetzt.
Permission;(2) Die überlebenden Mieter können das Mietverhältnis innerhalb eines Monats, nachdem sie vom Tod des Mieters Kenntnis erlangt haben, außerordentlich mit der gesetzlichen Frist kündigen.
Objection;(3) Eine abweichende Vereinbarung zum Nachteil der Mieter ist unwirksam.
Consequence;(1) Die Personen, die nach § 563 in das Mietverhältnis eingetreten sind oder mit denen es nach § 563a fortgesetzt wird, haften neben dem Erben für die bis zum Tod des Mieters entstandenen Verbindlichkeiten als Gesamtschuldner.
Consequence;Im Verhältnis zu diesen Personen haftet der Erbe allein, soweit nichts anderes bestimmt ist.
Duty;(2) Hat der Mieter die Miete für einen nach seinem Tod liegenden Zeitraum im Voraus entrichtet, sind die Personen, die nach § 563 in das Mietverhältnis eingetreten sind oder mit denen es nach § 563a fortgesetzt wird, verpflichtet, dem Erben dasjenige herauszugeben, was sie infolge der Vorausentrichtung der Miete ersparen oder erlangen.
Permission;(3) Der Vermieter kann, falls der verstorbene Mieter keine Sicherheit geleistet hat, von den Personen, die nach § 563 in das Mietverhältnis eingetreten sind oder mit denen es nach § 563a fortgesetzt wird, nach Maßgabe des § 551 eine Sicherheitsleistung verlangen.
Consequence;Treten beim Tod des Mieters keine Personen im Sinne des § 563 in das Mietverhältnis ein oder wird es nicht mit ihnen nach § 563a fortgesetzt, so wird es mit dem Erben fortgesetzt.
Permission;In diesem Fall ist sowohl der Erbe als auch der Vermieter berechtigt, das Mietverhältnis innerhalb eines Monats außerordentlich mit der gesetzlichen Frist zu kündigen, nachdem sie vom Tod des Mieters und davon Kenntnis erlangt haben, dass ein Eintritt in das Mietverhältnis oder dessen Fortsetzung nicht erfolgt sind.
Consequence;(1) Soll der Mieter nach dem Mietvertrag den gemieteten Wohnraum gewerblich einem Dritten zu Wohnzwecken weitervermieten, so tritt der Vermieter bei der Beendigung des Mietverhältnisses in die Rechte und Pflichten aus dem Mietverhältnis zwischen dem Mieter und dem Dritten ein.
Consequence;Schließt der Vermieter erneut einen Mietvertrag zur gewerblichen Weitervermietung ab, so tritt der Mieter anstelle der bisherigen Vertragspartei in die Rechte und Pflichten aus dem Mietverhältnis mit dem Dritten ein.
Reference;(2) Die §§ 566a bis 566e gelten entsprechend.
Objection;(3) Eine zum Nachteil des Dritten abweichende Vereinbarung ist unwirksam.
Consequence;(1) Wird der vermietete Wohnraum nach der Überlassung an den Mieter von dem Vermieter an einen Dritten veräußert, so tritt der Erwerber anstelle des Vermieters in die sich während der Dauer seines Eigentums aus dem Mietverhältnis ergebenden Rechte und Pflichten ein.
Consequence;(2) Erfüllt der Erwerber die Pflichten nicht, so haftet der Vermieter für den von dem Erwerber zu ersetzenden Schaden wie ein Bürge, der auf die Einrede der Vorausklage verzichtet hat.
Consequence;Erlangt der Mieter von dem Übergang des Eigentums durch Mitteilung des Vermieters Kenntnis, so wird der Vermieter von der Haftung befreit, wenn nicht der Mieter das Mietverhältnis zum ersten Termin kündigt, zu dem die Kündigung zulässig ist.
Consequence;Hat der Mieter des veräußerten Wohnraums dem Vermieter für die Erfüllung seiner Pflichten Sicherheit geleistet, so tritt der Erwerber in die dadurch begründeten Rechte und Pflichten ein.
Duty;Kann bei Beendigung des Mietverhältnisses der Mieter die Sicherheit von dem Erwerber nicht erlangen, so ist der Vermieter weiterhin zur Rückgewähr verpflichtet.
Objection;(1) Hat der Vermieter vor dem Übergang des Eigentums über die Miete verfügt, die auf die Zeit der Berechtigung des Erwerbers entfällt, so ist die Verfügung wirksam, soweit sie sich auf die Miete für den zur Zeit des Eigentumsübergangs laufenden Kalendermonat bezieht.
Objection;Geht das Eigentum nach dem 15. Tag des Monats über, so ist die Verfügung auch wirksam, soweit sie sich auf die Miete für den folgenden Kalendermonat bezieht.
Duty;(2) Eine Verfügung über die Miete für eine spätere Zeit muss der Erwerber gegen sich gelten lassen, wenn er sie zur Zeit des Übergangs des Eigentums kennt.
Objection;Ein Rechtsgeschäft, das zwischen dem Mieter und dem Vermieter über die Mietforderung vorgenommen wird, insbesondere die Entrichtung der Miete, ist dem Erwerber gegenüber wirksam, soweit es sich nicht auf die Miete für eine spätere Zeit als den Kalendermonat bezieht, in welchem der Mieter von dem Übergang des Eigentums Kenntnis erlangt.
Objection;Erlangt der Mieter die Kenntnis nach dem 15. Tag des Monats, so ist das Rechtsgeschäft auch wirksam, soweit es sich auf die Miete für den folgenden Kalendermonat bezieht.
Objection;Ein Rechtsgeschäft, das nach dem Übergang des Eigentums vorgenommen wird, ist jedoch unwirksam, wenn der Mieter bei der Vornahme des Rechtsgeschäfts von dem Übergang des Eigentums Kenntnis hat.
Permission;Soweit die Entrichtung der Miete an den Vermieter nach § 566c dem Erwerber gegenüber wirksam ist, kann der Mieter gegen die Mietforderung des Erwerbers eine ihm gegen den Vermieter zustehende Forderung aufrechnen.
Objection;Die Aufrechnung ist ausgeschlossen, wenn der Mieter die Gegenforderung erworben hat, nachdem er von dem Übergang des Eigentums Kenntnis erlangt hat, oder wenn die Gegenforderung erst nach der Erlangung der Kenntnis und später als die Miete fällig geworden ist.
Duty;(1) Teilt der Vermieter dem Mieter mit, dass er das Eigentum an dem vermieteten Wohnraum auf einen Dritten übertragen hat, so muss er in Ansehung der Mietforderung dem Mieter gegenüber die mitgeteilte Übertragung gegen sich gelten lassen, auch wenn sie nicht erfolgt oder nicht wirksam ist.
Permission;(2) Die Mitteilung kann nur mit Zustimmung desjenigen zurückgenommen werden, der als der neue Eigentümer bezeichnet worden ist.
Reference;Wird der vermietete Wohnraum nach der Überlassung an den Mieter von dem Vermieter mit dem Recht eines Dritten belastet, so sind die §§ 566 bis 566e entsprechend anzuwenden, wenn durch die Ausübung des Rechts dem Mieter der vertragsgemäße Gebrauch entzogen wird.
Duty;Wird der Mieter durch die Ausübung des Rechts in dem vertragsgemäßen Gebrauch beschränkt, so ist der Dritte dem Mieter gegenüber verpflichtet, die Ausübung zu unterlassen, soweit sie den vertragsgemäßen Gebrauch beeinträchtigen würde.
Consequence;Hat vor der Überlassung des vermieteten Wohnraums an den Mieter der Vermieter den Wohnraum an einen Dritten veräußert oder mit einem Recht belastet, durch dessen Ausübung der vertragsgemäße Gebrauch dem Mieter entzogen oder beschränkt wird, so gilt das Gleiche wie in den Fällen des § 566 Abs. 1 und des § 567, wenn der Erwerber dem Vermieter gegenüber die Erfüllung der sich aus dem Mietverhältnis ergebenden Pflichten übernommen hat.
Reference;Wird der vermietete Wohnraum von dem Erwerber weiterveräußert oder belastet, so sind § 566 Abs. 1 und die §§ 566a bis 567a entsprechend anzuwenden.
Consequence;(1) Die Kündigung des Mietverhältnisses bedarf der schriftlichen Form.
Duty;(2) Der Vermieter soll den Mieter auf die Möglichkeit, die Form und die Frist des Widerspruchs nach den §§ 574 bis 574b rechtzeitig hinweisen.
Definition;(1) Ein wichtiger Grund im Sinne des § 543 Abs. 1 liegt für den Mieter auch vor, wenn der gemietete Wohnraum so beschaffen ist, dass seine Benutzung mit einer erheblichen Gefährdung der Gesundheit verbunden ist.
Continuation;Dies gilt auch, wenn der Mieter die Gefahr bringende Beschaffenheit bei Vertragsschluss gekannt oder darauf verzichtet hat, die ihm wegen dieser Beschaffenheit zustehenden Rechte geltend zu machen.
Definition;(2) Ein wichtiger Grund im Sinne des § 543 Abs. 1 liegt ferner vor, wenn eine Vertragspartei den Hausfrieden nachhaltig stört, so dass dem Kündigenden unter Berücksichtigung aller Umstände des Einzelfalls, insbesondere eines Verschuldens der Vertragsparteien, und unter Abwägung der beiderseitigen Interessen die Fortsetzung des Mietverhältnisses bis zum Ablauf der Kündigungsfrist oder bis zur sonstigen Beendigung des Mietverhältnisses nicht zugemutet werden kann.
Definition;(2a) Ein wichtiger Grund im Sinne des § 543 Absatz 1 liegt ferner vor, wenn der Mieter mit einer Sicherheitsleistung nach § 551 in Höhe eines Betrages im Verzug ist, der der zweifachen Monatsmiete entspricht.
Indemnity;Die als Pauschale oder als Vorauszahlung ausgewiesenen Betriebskosten sind bei der Berechnung der Monatsmiete nach Satz 1 nicht zu berücksichtigen.
Consequence;Einer Abhilfefrist oder einer Abmahnung nach § 543 Absatz 3 Satz 1 bedarf es nicht.
Reference;Absatz 3 Nummer 2 Satz 1 sowie § 543 Absatz 2 Satz 2 sind entsprechend anzuwenden.
Consequence;1.Im Falle des § 543 Abs. 2 Satz 1 Nr. 3 Buchstabe a ist der rückständige Teil der Miete nur dann als nicht unerheblich anzusehen, wenn er die Miete für einen Monat übersteigt.
Continuation;Dies gilt nicht, wenn der Wohnraum nur zum vorübergehenden Gebrauch vermietet ist.
Objection;2.Die Kündigung wird auch dann unwirksam, wenn der Vermieter spätestens bis zum Ablauf von zwei Monaten nach Eintritt der Rechtshängigkeit des Räumungsanspruchs hinsichtlich der fälligen Miete und der fälligen Entschädigung nach § 546a Abs. 1 befriedigt wird oder sich eine öffentliche Stelle zur Befriedigung verpflichtet.
Continuation;Dies gilt nicht, wenn der Kündigung vor nicht länger als zwei Jahren bereits eine nach Satz 1 unwirksam gewordene Kündigung vorausgegangen ist.
Prohibition;3.Ist der Mieter rechtskräftig zur Zahlung einer erhöhten Miete nach den §§ 558 bis 560 verurteilt worden, so kann der Vermieter das Mietverhältnis wegen Zahlungsverzugs des Mieters nicht vor Ablauf von zwei Monaten nach rechtskräftiger Verurteilung kündigen, wenn nicht die Voraussetzungen der außerordentlichen fristlosen Kündigung schon wegen der bisher geschuldeten Miete erfüllt sind.
Duty;(4) Der zur Kündigung führende wichtige Grund ist in dem Kündigungsschreiben anzugeben.
Objection;(5) Eine Vereinbarung, die zum Nachteil des Mieters von den Absätzen 1 bis 3 dieser Vorschrift oder von § 543 abweicht, ist unwirksam.
Objection;Ferner ist eine Vereinbarung unwirksam, nach der der Vermieter berechtigt sein soll, aus anderen als den im Gesetz zugelassenen Gründen außerordentlich fristlos zu kündigen.
Consequence;Dem Mieter steht kein Zurückbehaltungsrecht gegen den Rückgabeanspruch des Vermieters zu.
Permission;(1) Gibt der Mieter den gemieteten Wohnraum nach Beendigung des Mietverhältnisses nicht zurück, so kann der Vermieter einen weiteren Schaden im Sinne des § 546a Abs. 2 nur geltend machen, wenn die Rückgabe infolge von Umständen unterblieben ist, die der Mieter zu vertreten hat.
Duty;Der Schaden ist nur insoweit zu ersetzen, als die Billigkeit eine Schadloshaltung erfordert.
Continuation;Dies gilt nicht, wenn der Mieter gekündigt hat.
Indemnity;(2) Wird dem Mieter nach § 721 oder § 794a der Zivilprozessordnung eine Räumungsfrist gewährt, so ist er für die Zeit von der Beendigung des Mietverhältnisses bis zum Ablauf der Räumungsfrist zum Ersatz eines weiteren Schadens nicht verpflichtet.
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Prohibition;(1) Auf eine Vereinbarung, nach der der Vermieter berechtigt sein soll, nach Überlassung des Wohnraums an den Mieter vom Vertrag zurückzutreten, kann der Vermieter sich nicht berufen.
Prohibition;(2) Ferner kann der Vermieter sich nicht auf eine Vereinbarung berufen, nach der das Mietverhältnis zum Nachteil des Mieters auflösend bedingt ist.
Permission;(1) Der Vermieter kann nur kündigen, wenn er ein berechtigtes Interesse an der Beendigung des Mietverhältnisses hat.
Objection;Die Kündigung zum Zwecke der Mieterhöhung ist ausgeschlossen.
Duty;(3) Die Gründe für ein berechtigtes Interesse des Vermieters sind in dem Kündigungsschreiben anzugeben.
Consequence;Andere Gründe werden nur berücksichtigt, soweit sie nachträglich entstanden sind.
Objection;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Ein Mietverhältnis über eine Wohnung in einem vom Vermieter selbst bewohnten Gebäude mit nicht mehr als zwei Wohnungen kann der Vermieter auch kündigen, ohne dass es eines berechtigten Interesses im Sinne des § 573 bedarf.
Consequence;Die Kündigungsfrist verlängert sich in diesem Fall um drei Monate.
Reference;(2) Absatz 1 gilt entsprechend für Wohnraum innerhalb der vom Vermieter selbst bewohnten Wohnung, sofern der Wohnraum nicht nach § 549 Abs. 2 Nr. 2 vom Mieterschutz ausgenommen ist.
Duty;(3) In dem Kündigungsschreiben ist anzugeben, dass die Kündigung auf die Voraussetzungen des Absatzes 1 oder 2 gestützt wird.
Objection;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Der Vermieter kann nicht zum Wohnen bestimmte Nebenräume oder Teile eines Grundstücks ohne ein berechtigtes Interesse im Sinne des § 573 kündigen, wenn er die Kündigung auf diese Räume oder Grundstücksteile beschränkt und sie dazu verwenden will, 1.Wohnraum zum Zwecke der Vermietung zu schaffen oder 2.den neu zu schaffenden und den vorhandenen Wohnraum mit Nebenräumen oder Grundstücksteilen auszustatten.
Objection;(2) Die Kündigung ist spätestens am dritten Werktag eines Kalendermonats zum Ablauf des übernächsten Monats zulässig.
Permission;(3) Verzögert sich der Beginn der Bauarbeiten, so kann der Mieter eine Verlängerung des Mietverhältnisses um einen entsprechenden Zeitraum verlangen.
Permission;(4) Der Mieter kann eine angemessene Senkung der Miete verlangen.
Objection;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Objection;(1) Die Kündigung ist spätestens am dritten Werktag eines Kalendermonats zum Ablauf des übernächsten Monats zulässig.
Consequence;Die Kündigungsfrist für den Vermieter verlängert sich nach fünf und acht Jahren seit der Überlassung des Wohnraums um jeweils drei Monate.
Permission;(2) Bei Wohnraum, der nur zum vorübergehenden Gebrauch vermietet worden ist, kann eine kürzere Kündigungsfrist vereinbart werden.
Objection;(3) Bei Wohnraum nach § 549 Abs. 2 Nr. 2 ist die Kündigung spätestens am 15. eines Monats zum Ablauf dieses Monats zulässig.
Objection;(4) Eine zum Nachteil des Mieters von Absatz 1 oder 3 abweichende Vereinbarung ist unwirksam.
Reference;(1) Kann ein Mietverhältnis außerordentlich mit der gesetzlichen Frist gekündigt werden, so gelten mit Ausnahme der Kündigung gegenüber Erben des Mieters nach § 564 die §§ 573 und 573a entsprechend.
Objection;(2) Die Kündigung ist spätestens am dritten Werktag eines Kalendermonats zum Ablauf des übernächsten Monats zulässig, bei Wohnraum nach § 549 Abs. 2 Nr. 2 spätestens am 15. eines Monats zum Ablauf dieses Monats (gesetzliche Frist).
Reference;§ 573a Abs. 1 Satz 2 findet keine Anwendung.
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Der Mieter kann der Kündigung des Vermieters widersprechen und von ihm die Fortsetzung des Mietverhältnisses verlangen, wenn die Beendigung des Mietverhältnisses für den Mieter, seine Familie oder einen anderen Angehörigen seines Haushalts eine Härte bedeuten würde, die auch unter Würdigung der berechtigten Interessen des Vermieters nicht zu rechtfertigen ist.
Continuation;Dies gilt nicht, wenn ein Grund vorliegt, der den Vermieter zur außerordentlichen fristlosen Kündigung berechtigt.
Definition;(2) Eine Härte liegt auch vor, wenn angemessener Ersatzwohnraum zu zumutbaren Bedingungen nicht beschafft werden kann.
Consequence;(3) Bei der Würdigung der berechtigten Interessen des Vermieters werden nur die in dem Kündigungsschreiben nach § 573 Abs. 3 angegebenen Gründe berücksichtigt, außer wenn die Gründe nachträglich entstanden sind.
Objection;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Im Falle des § 574 kann der Mieter verlangen, dass das Mietverhältnis so lange fortgesetzt wird, wie dies unter Berücksichtigung aller Umstände angemessen ist.
